n	expression
60	(((((0*12)+34)-56)-7)+89)
61	(((((0*12)+34)+5)-67)+89)
62	(((((0*1234)+56)+7)+8)-9)
63	((((0*12345)-6)+78)-9)
64	(((((0*12)-3)+45)-67)+89)
65	((((0*123456)+7)*8)+9)
66	((((0*12345)+67)+8)-9)
67	((((0*123)+45)-67)+89)
68	((01234*5)-(678*9))
69	(((0*123456)+78)-9)
70	((((0-12)*34)+567)-89)
71	(0123+(4*((56-78)+9)))
72	(((0*1234567)+8)*9)
73	((((01*234)-5)-67)-89)
74	((((01+234)-5)-67)-89)
75	((((0*12345)+6)+78)-9)
76	((((0*12345)-6)-7)+89)
77	((((012+34)-56)+78)+9)
78	((((0-123)+45)+67)+89)
79	((((0123-4)+56)-7)-89)
80	((((0123+45)-6)+7)-89)
81	((((0*12345)-6)+78)+9)
82	(((0*123456)-7)+89)
83	((((01*234)+5)-67)-89)
84	((((0*12345)+67)+8)+9)
85	(((((0*1234)-5)-6)+7)+89)
86	((((012+34)-56)+7)+89)
87	(((0*123456)+78)+9)
88	((((0*12345)+6)-7)+89)
89	((0*1234567)+89)
90	((((0*12345)-6)+7)+89)
91	((((01*234)-56)-78)-9)
92	((((01+234)-56)-78)-9)
93	((((0*12345)+6)+78)+9)
94	(((01-(2*345))-6)+789)
95	(((((0*123)+45)+67)-8)-9)
96	(((0*123456)+7)+89)
97	((((01+234)-56)+7)-89)
98	(((((0*1234)+5)+6)+78)+9)
99	(((((0*1234)+5)*6)+78)-9)
100	(((0123-45)-67)+89)
101	((((0123+4)+56)+7)-89)
102	((((0*12345)+6)+7)+89)
103	((((012*3)+45)-67)+89)
104	(((((0*12)-34)+56)-7)+89)
105	((((0123+45)+6)-78)+9)
106	((((0123-4)+56)-78)+9)
107	(((((0*1234)+5)+6)+7)+89)
108	((((01*2)*345)-678)*9)
109	((((01*234)-56)-78)+9)
110	((((01+234)-56)-78)+9)
111	((((0*123)-45)+67)+89)
112	((01-(2*(345-6)))+789)
113	(((((0*12)+3)*45)+67)-89)
114	((((0123+4)+56)-78)+9)
115	(((((0-12)-34)+5)+67)+89)
116	((((012-34)+56)-7)+89)
117	(((01+(2*345))-678)*9)
118	((((0123+45)-67)+8)+9)
119	(((0*123456)+7)*(8+9))
120	((((012-3)-45)+67)+89)
121	((((012-34)+56)+78)+9)
122	(((((01+23)*4)-56)-7)+89)
123	((((01-2)+3)*456)-789)
124	((01*234)+(5*(67-89)))
125	((((0*1234)+56)+78)-9)
126	((((012+3)-45)+67)+89)
127	(((((0*12)-34)+5)+67)+89)
128	((((0123-45)+67)-8)-9)
129	((((012-34)*5)*6)+789)
130	((((012-34)+56)+7)+89)
131	((((0*12345)+6)*7)+89)
132	((((0123-4)-56)+78)-9)
133	(((((0*123)+45)+6)-7)+89)
134	((((01*23)-45)+67)+89)
135	((((0*123456)+7)+8)*9)
136	((((0123-4)-5)-67)+89)
137	(((((0*123)+4)*56)-78)-9)
138	((((0*1234)+56)-7)+89)
139	((((012-34)+5)+67)+89)
140	((((0123+4)-56)+78)-9)
141	((((0123-45)-6)+78)-9)
142	(((((0*123)+4)*56)+7)-89)
143	((((0*1234)+56)+78)+9)
144	((((0123+4)-5)-67)+89)
145	((((0123-4)-56)-7)+89)
146	(((0123+45)+67)-89)
147	((((012*3)-45)+67)+89)
148	(((((0*12)+34)*5)+67)-89)
149	((((012-34)+56)*7)-89)
150	((((0123-4)-56)+78)+9)
151	((((0*1234)-5)+67)+89)
152	((((0*1234)+56)+7)+89)
153	((((0123+4)-56)-7)+89)
154	((((0123+4)+5)-67)+89)
155	(((((0*123)+4)*56)-78)+9)
156	(((0*12345)+67)+89)
157	(((((0*12)+3)*45)-67)+89)
158	((((0123+4)-56)+78)+9)
159	((((0123-4)-56)+7)+89)
160	(((012+(34*5))+67)-89)
161	((((0*1234)+5)+67)+89)
162	((((0123-45)+67)+8)+9)
163	(((0123+45)+67)-(8*9))
164	((((0-123)*4)+567)+89)
165	(((012*(3-45))+678)-9)
166	((((0123-45)+6)-7)+89)
167	((((0123+4)-56)+7)+89)
168	((((0123-45)-6)+7)+89)
169	(((012+(3*45))-67)+89)
170	(((((01*23)+4)+56)+78)+9)
171	((((012+34)+56)+78)-9)
172	(((((0*12)+34)+56)-7)+89)
173	(((0123+45)-67)+(8*9))
174	(((((0*123)+45)*6)-7)-89)
175	(0123-(4*((56-78)+9)))
176	(((012-3)-456)+(7*89))
177	((((0-12)+345)-67)-89)
178	((((01+23)+45)-67)*89)
179	((((01-23)+45)+67)+89)
180	((((0123-45)+6)+7)+89)
181	(((((01+23)-4)+5)+67)+89)
182	(((012+3)-456)+(7*89))
183	(((012*(3-45))+678)+9)
184	((((012+34)+56)-7)+89)
185	(((((0*12)+34)-5)+67)+89)
186	(((((0*12)+34)+56)+7)+89)
187	(((0123-45)-67)*(8+9))
188	((((01-2)+345)-67)-89)
189	((((0*12)+345)-67)-89)
190	(((0123+45)-67)+89)
191	((((01*2)+345)-67)-89)
192	((((01+2)+345)-67)-89)
193	(((((0-1)+234)+56)-7)-89)
194	((((01*234)+56)-7)-89)
195	((((01+234)+56)-7)-89)
196	((((01+234)+(5*6))-78)+9)
197	((((012+34)-5)+67)+89)
198	((((0*1234)-56)+78)*9)
199	(((((0123-4)+5)+6)+78)-9)
200	(((((0-123)*4)+5)+678)+9)
201	(((012+345)-67)-89)
202	((0123-(4*(56-78)))-9)
203	((((01*234)+56)-78)-9)
204	((((01+234)+56)-78)-9)
205	(((((0123-4)+5)-6)+78)+9)
206	(((((0-1)+234)-5)+67)-89)
207	((01234*5)-(67*89))
208	((((01*234)+56)+7)-89)
209	((((01+234)+56)+7)-89)
210	(((0-123)-456)+789)
211	((012*((3-45)+67))-89)
212	(((012-345)+(67*8))+9)
213	((012*((3-45)-6))+789)
214	(((((0123-4)+5)-6)+7)+89)
215	(((0123+45)-(6*7))+89)
216	((((012+3)+45)+67)+89)
217	((((01*234)+5)+67)-89)
218	((((01+234)+5)+67)-89)
219	(((0123+45)*6)-789)
220	((0123-(4*(56-78)))+9)
221	((((01*234)+56)-78)+9)
222	((((01+234)+56)-78)+9)
223	(((((0-1)+23)+45)+67)+89)
224	((((01*23)+45)+67)+89)
225	((((01+23)+45)+67)+89)
226	(((012+345)-(6*7))-89)
227	(0123-(4*((56+7)-89)))
228	(((01+2)*(345-6))-789)
229	((0123-4)-(5*(67-89)))
230	((0123+(4*(56-7)))-89)
231	((((0123+45)-6)+78)-9)
232	((((01-(23*4))*5)+678)+9)
233	(((((01+2)*34)-56)*7)-89)
234	(((0123-45)+67)+89)
235	((0123+45)-(67*(8-9)))
236	((((0123+45)+67)-8)+9)
237	((((0-123)+456)-7)-89)
238	((((0-12)*34)-56)+(78*9))
239	(((((01+23)*4)+56)+78)+9)
240	((((01*23)*45)-6)-789)
241	((((0-123)*4)-56)+789)
242	(((((01-2)+345)-6)-7)-89)
243	((((0-1)-234)+567)-89)
244	((((0*1)-234)+567)-89)
245	(((01-234)+567)-89)
246	((((0*1234)+5)*67)-89)
247	((((01*234)-56)+78)-9)
248	((((0-12)*34)+567)+89)
249	((((012-3)*45)-67)-89)
250	(((((0-1)+234)-5)-67)+89)
251	((((0-123)+456)+7)-89)
252	((((01*23)*45)+6)-789)
253	(((01+(23*45))+6)-789)
254	(((((01*2)+345)-6)-78)-9)
255	((((012+345)-6)-7)-89)
256	((((012*34)-56)-7)-89)
257	((((012*34)+5)-67)-89)
258	((((0123+45)-6)+7)+89)
259	(((0123-(4*5))+67)+89)
260	((((01*234)-56)-7)+89)
261	((((01*234)+5)-67)+89)
262	((((01+234)+5)-67)+89)
263	(((((01*2)+345)-67)-8)-9)
264	((((0-123)+456)-78)+9)
265	((((01*234)-56)+78)+9)
266	((((01+234)-56)+78)+9)
267	((((012+345)+6)-7)-89)
268	((012+345)+((6-7)*89))
269	((((012+345)-6)+7)-89)
270	((((012*34)-56)+7)-89)
271	((((0123-4)+56)+7)+89)
272	(((((01*2)+345)-6)-78)+9)
273	((((012+345)-67)-8)-9)
274	((((01*234)-56)+7)+89)
275	((((01*23)-4)*56)-789)
276	((((012+345)+6)-78)-9)
277	(01234-((5+6)*(78+9)))
278	((((0123+4)-5)+67)+89)
279	((((0123+4)+56)+7)+89)
280	((((0123-4)+5)+67)+89)
281	((((012+345)+6)+7)-89)
282	((((012+345)-6)-78)+9)
283	((((012*34)-56)-78)+9)
284	(((012-345)-6)+(7*89))
285	((((01+23)*45)-6)-789)
286	((012-34)*((56-78)+9))
287	(((((012*3)*4)+56)+78)+9)
288	((((0123+4)+5)+67)+89)
289	((((012+345)-67)+8)-9)
290	((0123-456)+(7*89))
291	((012*(34+56))-789)
292	(((012+34)+(5*67))-89)
293	(((((0*123)+4)*56)+78)-9)
294	((((012+345)+6)-78)+9)
295	(((((0*12)+345)-67)+8)+9)
296	(((012-345)+6)+(7*89))
297	((((0-12)*3)-456)+789)
298	((012*34)+(5*(67-89)))
299	(((0123+(4*5))+67)+89)
300	(((((01*234)+56)-7)+8)+9)
301	(((((01+234)+56)-7)+8)+9)
302	(((((01*234)+5)-6)+78)-9)
303	((((0*1234)+56)*7)-89)
304	(((((01*23)*4)*5)-67)-89)
305	(((((01*234)+5)+67)+8)-9)
306	(((0123+(45*6))-78)-9)
307	((((012+345)-67)+8)+9)
308	((0123-((45-67)*8))+9)
309	((((0-1)-23)-456)+789)
310	((((0*1)-23)-456)+789)
311	(((01-23)-456)+789)
312	((((0-12)-345)+678)-9)
313	(((((01*234)-5)+67)+8)+9)
314	(((((01*234)+5)+6)+78)-9)
315	((012-345)-((6-78)*9))
316	(((((0*1)-234)+567)-8)-9)
317	((((01-234)+567)-8)-9)
318	((((0-12)-3)-456)+789)
319	(((((01*234)-5)-6)+7)+89)
320	(((((0*123)+4)*56)+7)+89)
321	((((0-123)+45)*6)+789)
322	((((01-2)+345)+67)-89)
323	((((0*12)+345)+67)-89)
324	(((0123+45)+67)+89)
325	((((0-12)*34)-56)+789)
326	((((01*2)-345)+678)-9)
327	((((01+2)-345)+678)-9)
328	(((01-(2*3))-456)+789)
329	((((01-2)-3)-456)+789)
330	((((0*12)-3)-456)+789)
331	((((01+23)-4)*56)-789)
332	((((01*2)-3)-456)+789)
333	(((0*123)-456)+789)
334	(((01-234)-56)+(7*89))
335	(((012+345)+67)-89)
336	(((012-345)+678)-9)
337	(((((0*1)-23)+456)-7)-89)
338	((((01*2)+3)-456)+789)
339	((((01*2)*3)-456)+789)
340	((((0123*4)-56)-7)-89)
341	((((01-2)-345)+678)+9)
342	(((012-3)-456)+789)
343	(((((0-1)+2)-345)+678)+9)
344	((((01*2)-345)+678)+9)
345	((((01+2)-345)+678)+9)
346	(((((0*1)-23)+456)-78)-9)
347	((((01-23)+456)-78)-9)
348	(((012+3)-456)+789)
349	((((0123*4)-56)-78)-9)
350	(((((0*1)-234)+567)+8)+9)
351	((((0-123)-4)+567)-89)
352	((((01-23)+456)+7)-89)
353	((((0-123)*4)+56)+789)
354	(((012-345)+678)+9)
355	((((0-1)+23)-456)+789)
356	(((01*23)-456)+789)
357	(((01+23)-456)+789)
358	(((((0-1)+234)+56)+78)-9)
359	((((0-123)+4)+567)-89)
360	((((0*123)+456)-7)-89)
361	(((((012+345)-6)-7)+8)+9)
362	(((012+345)-67)+(8*9))
363	(((012-345)-6)+(78*9))
364	(((((0*1)-23)+456)-78)+9)
365	((((01-23)+456)-78)+9)
366	((((01*23)*45)-678)+9)
367	((((0*12)+345)-67)+89)
368	((((012*34)+56)-7)-89)
369	(((012*3)-456)+789)
370	((((01+2)+345)-67)+89)
371	(((((0*12)-3)+456)+7)-89)
372	((((01*234)+56)-7)+89)
373	((((01+234)+56)-7)+89)
374	((((0*123)+456)+7)-89)
375	((((01*234)*5)-6)-789)
376	(((01+(234*5))-6)-789)
377	((((01*234)+56)+78)+9)
378	((((01+234)+56)+78)+9)
379	(((012+345)-67)+89)
380	((((01+234)*5)-6)-789)
381	((((012*34)-5)+67)-89)
382	((((012*34)+56)+7)-89)
383	((((01*23)+456)-7)-89)
384	((((01+23)+456)-7)-89)
385	((((01*234)-5)+67)+89)
386	((((01*234)+56)+7)+89)
387	((((0*123)+456)-78)+9)
388	(((01+(234*5))+6)-789)
389	((01234-56)-789)
390	((((01-23)*4)+567)-89)
391	((((012*34)+5)+67)-89)
392	((((01*23)+456)-78)-9)
393	((((01+23)*45)-678)-9)
394	(((((0-1)+234)+5)+67)+89)
395	((((01*234)+5)+67)+89)
396	((((01+234)+5)+67)+89)
397	((((01*23)+456)+7)-89)
398	((((01+23)+456)+7)-89)
399	((((0123-45)*6)-78)+9)
400	(((012-345)-67)*(8-9))
401	(01234-((56-7)*(8+9)))
402	((((0-123)+456)+78)-9)
403	((01234-(56*(7+8)))+9)
404	(((012+345)-(6*7))+89)
405	((((012*3)+456)-78)-9)
406	(((01-234)+567)+(8*9))
407	((((012+345)+67)-8)-9)
408	((((0123+4)-56)*7)-89)
409	((012-((3+4)*56))+789)
410	((((01*23)+456)-78)+9)
411	((((01+23)*45)-678)+9)
412	(((((01-2)+345)+67)-8)+9)
413	(((01-234)-56)+(78*9))
414	(((0*12345)+6)*(78-9))
415	((01234-(5*6))-789)
416	(((0123+(4*56))+78)-9)
417	(((((0-12)+345)+67)+8)+9)
418	((01-(23*(45-67)))-89)
419	(((((01-2)+345)+6)+78)-9)
420	((((0-123)+456)+78)+9)
421	((((0-1)-234)+567)+89)
422	((((0*1)-234)+567)+89)
423	(((01-234)+567)+89)
424	((((0*1234)+5)*67)+89)
425	((((012*34)-5)-67)+89)
426	((((0-12)-345)-6)+789)
427	((((012-3)*45)-67)+89)
428	(((0-123)*45)+(67*89))
429	((((0-123)+456)+7)+89)
430	(((0123+4)+(56*7))-89)
431	((((01-234)-5)+678)-9)
432	((((0-12)-34)+567)-89)
433	((((012+345)-6)-7)+89)
434	(((01234-5)-6)-789)
435	((((012*34)+5)-67)+89)
436	(((((0*1)-2)-345)-6)+789)
437	((((0-12)*34)+56)+789)
438	((((0*12)-345)-6)+789)
439	((((012*34)-56)+78)+9)
440	((((01*2)-345)-6)+789)
441	((((01+2)-345)-6)+789)
442	(((0-123)-(4*56))+789)
443	((((0-12)+34)*56)-789)
444	(((01234+5)-6)-789)
445	(01234+((5-6)*789))
446	(((01234-5)+6)-789)
447	((((01+2)-34)+567)-89)
448	((((012*34)-56)+7)+89)
449	((((01-2)-345)+6)+789)
450	(((012-345)-6)+789)
451	(((((0*1)-23)-4)+567)-89)
452	((((01*2)-345)+6)+789)
453	((((01+2)-345)+6)+789)
454	(01234-(5*(67+89)))
455	(((((01*23)+456)-7)-8)-9)
456	((0123-456)+789)
457	((012*(34+56))-(7*89))
458	((0123*(45-(6*7)))+89)
459	((((0*12345)+6)*78)-9)
460	((((01-23)+4)+567)-89)
461	((((0123*4)+56)-78)-9)
462	(((012-345)+6)+789)
463	(((((012*34)+5)+67)-8)-9)
464	((0123+(4*(56+7)))+89)
465	((((0123*4)-5)+67)-89)
466	((((0123*4)+56)+7)-89)
467	(((01*2)*(345-67))-89)
468	((01+(2*(345-67)))-89)
469	(((((01*23)+456)+7)-8)-9)
470	(((012+34)+(5*67))+89)
471	(((((0*12)-3)-4)+567)-89)
472	(((((01+23)+456)-7)+8)-9)
473	(((012-34)+567)-(8*9))
474	((((0*123)-4)+567)-89)
475	((01234+(5*6))-789)
476	((01234-56)-(78*9))
477	((((0*12345)+6)*78)+9)
478	(((0*1234)+567)-89)
479	((((0123*4)+56)-78)+9)
480	(((01*234)+(5*67))-89)
481	((((0*1234)+56)*7)+89)
482	((((0*123)+4)+567)-89)
483	(((0123+456)-7)-89)
484	(((01*23)-45)*(67-89))
485	((0123+((45-6)*7))+89)
486	(((((0*1234)-5)+67)-8)*9)
487	(((((0*1234)-5)+67)*8)-9)
488	((((01+234)*5)-678)-9)
489	((((0-12)+345)+67)+89)
490	(((012*(34+5))-67)+89)
491	((((012-3)+4)+567)-89)
492	(((0123+456)-78)-9)
493	(((012-34)*(56-78))+9)
494	(((((01-2)-34)*5)+678)-9)
495	(((0*1234)+567)-(8*9))
496	(((012+345)+67)+(8*9))
497	(((0123+456)+7)-89)
498	((((0-1)-234)-56)+789)
499	((((0*1)-234)-56)+789)
500	(((01-234)-56)+789)
501	((01234+56)-789)
502	(((01+(234*5))-678)+9)
503	((((01*2)+345)+67)+89)
504	((((0*123456)+7)*8)*9)
505	((((01*23)+4)+567)-89)
506	((((01+23)+4)+567)-89)
507	(((((0-12)*3)+456)+78)+9)
508	((((01*23)*45)-(67*8))+9)
509	((((0123*4)-5)-67)+89)
510	(((0123+456)-78)+9)
511	((((01-2)+34)+567)-89)
512	((((0*12)+34)+567)-89)
513	(((012+345)+67)+89)
514	((((01*2)+34)+567)-89)
515	((((01+2)+34)+567)-89)
516	((((01-23)+456)-7)+89)
517	(((((0*12)-34)*5)+678)+9)
518	((((012*3)+4)+567)-89)
519	((((0*123)-45)*6)+789)
520	(((0123-4)*(5+6))-789)
521	((((01-23)+456)+78)+9)
522	(((0*12345)+6)*(78+9))
523	((((0123*4)-56)+78)+9)
524	(((012+34)+567)-89)
525	((012*(34-56))+789)
526	(((01-234)-(5*6))+789)
527	((((0*12345)+67)*8)-9)
528	((((012-34)+567)-8)-9)
529	((((0-123)-4)+567)+89)
530	((((01-23)+456)+7)+89)
531	((((0*12345)+67)-8)*9)
532	((((0123*4)-56)+7)+89)
533	((((012*34)+56)+78)-9)
534	((((01*2)*345)-67)-89)
535	(((01+(2*345))-67)-89)
536	(((((01*2)-34)+567)-8)+9)
537	((((0-123)+4)+567)+89)
538	((((0*123)+456)-7)+89)
539	(01234-(5*(67+(8*9))))
540	((((012+3)+456)+78)-9)
541	(((012+34)+567)-(8*9))
542	(((01234-5)-678)-9)
543	((((0*123)+456)+78)+9)
544	((((012-34)+567)+8)-9)
545	((((0*12345)+67)*8)+9)
546	((((01*2)*34)+567)-89)
547	((((012-3)+456)-7)+89)
548	((((01*23)+456)+78)-9)
549	((((01+23)+456)+78)-9)
550	((((0*1234)+567)-8)-9)
551	((((012*34)+56)+78)+9)
552	(((01234+5)-678)-9)
553	((((012+3)+456)-7)+89)
554	(((01+234)*(5-6))+789)
555	((01234-56)-(7*89))
556	((01+(234*(5-6)))+789)
557	((((01-234)-5)+6)+789)
558	((((012+3)+456)+78)+9)
559	((((012*34)-5)+67)+89)
560	(((01234-5)-678)+9)
561	((((01*23)+456)-7)+89)
562	((((01+23)+456)-7)+89)
563	(0123-((4*5)*(67-89)))
564	((((0123-45)*6)+7)+89)
565	((((0*123)-4)*56)+789)
566	((((0*1234)+567)+8)-9)
567	((((01+23)+456)+78)+9)
568	((((0*1234)+567)-8)+9)
569	((((012*34)+5)+67)+89)
570	(((01234+5)-678)+9)
571	((((0123+456)-7)+8)-9)
572	((012-34)*((56+7)-89))
573	((((012-3)-45)*6)+789)
574	((((01+23)*4)+567)-89)
575	((((01*23)+456)+7)+89)
576	((((01+23)+456)+7)+89)
577	((((012-34)*5)+678)+9)
578	((01234-567)-89)
579	((((0*12)+3)*456)-789)
580	((((01+2)*34)+567)-89)
581	(((01*2)+(3*456))-789)
582	(((01+2)+(3*456))-789)
583	(((((01-2)+34)+567)-8)-9)
584	((((0*1234)+567)+8)+9)
585	((((01*234)-5)*6)-789)
586	((((0123+4)-56)*7)+89)
587	((((0123+456)+7)-8)+9)
588	((01234+56)-(78*9))
589	((((0123+456)-7)+8)+9)
590	(012-(34*((5+67)-89)))
591	((012+(3*456))-789)
592	((01+(23*(4+56)))-789)
593	((((0123-45)-6)*7)+89)
594	(((0-12)*345)+(6*789))
595	((01234-567)-(8*9))
596	((((012+34)+567)-8)-9)
597	(((0123-4)+567)-89)
598	(((012*(3+45))-67)+89)
599	(((((01-2)+34)+567)+8)-9)
600	(((0123-4)+(56*7))+89)
601	(((012*3)-(4*56))+789)
602	((((01-23)-45)+678)-9)
603	((((0123+456)+7)+8)+9)
604	(01234+(((5-67)-8)*9))
605	(((0123+4)+567)-89)
606	((((0-123)-4)-56)+789)
607	(((((01*23)+45)+6)*7)+89)
608	(((0123+4)*(5+6))-789)
609	((((0-123)+45)+678)+9)
610	((((0-1)-234)+56)+789)
611	((((0*1)-234)+56)+789)
612	(((01-234)+56)+789)
613	((((0123+4)*5)+67)-89)
614	((((0-123)+4)-56)+789)
615	((((0-123)-45)-6)+789)
616	(((((0-12)*3)-4)+567)+89)
617	((((0123*4)+56)+78)-9)
618	(((((0*12)+34)+567)+8)+9)
619	(((0-1234)*5)+6789)
620	((((01-23)-45)+678)+9)
621	((((01-2)-34)+567)+89)
622	((((0*12)-34)+567)+89)
623	(((0*123456)+7)*89)
624	((((0*123)-45)+678)-9)
625	((((01+2)-34)+567)+89)
626	(((0123+456)+(7*8))-9)
627	((((0-123)-45)+6)+789)
628	(((((0-1)-23)-4)+567)+89)
629	(((0*12345)+6)+(7*89))
630	((((01-23)-4)+567)+89)
631	(01234+(((5+6)-78)*9))
632	((0123+((4+56)*7))+89)
633	((((012-3)-45)+678)-9)
634	(((012-34)+567)+89)
635	((((0123*4)+56)+78)+9)
636	(((((0-1)-23)+4)+567)+89)
637	(((012-(34*5))+6)+789)
638	((((01-23)+4)+567)+89)
639	((((012+3)-45)+678)-9)
640	(((((0*12)-34)+5)+678)-9)
641	((01234+(5*6))-(7*89))
642	((0123-(45*6))+789)
643	((((0123*4)-5)+67)+89)
644	((((0123*4)+56)+7)+89)
645	((((01*234)+5)*6)-789)
646	(((0*1234)-56)+(78*9))
647	((((01*23)-45)+678)-9)
648	(((0123+456)+78)-9)
649	((01234-((5+67)*8))-9)
650	(((01234-567)-8)-9)
651	((((01+234)+5)*6)-789)
652	((((0*123)-4)+567)+89)
653	((((012+3)*45)+67)-89)
654	(((012*34)+(5*67))-89)
655	(((((0*12)+3)-4)+567)+89)
656	(((0*1234)+567)+89)
657	((((01*23)-45)*6)+789)
658	(((01*234)+(5*67))+89)
659	(((01+234)+(5*67))+89)
660	((((0*123)+4)+567)+89)
661	(((0123+456)-7)+89)
662	(((0123+4)*(5-6))+789)
663	((((01+23)-45)*6)+789)
664	((((0*1234)-5)+678)-9)
665	((((01*23)-45)+678)+9)
666	(((0123+456)+78)+9)
667	((01234+56)-(7*89))
668	(((01234-567)-8)+9)
669	(((0*12345)+678)-9)
670	((((012-34)+5)+678)+9)
671	(((((0-123)+4)-5)+6)+789)
672	(((012-(3*45))+6)+789)
673	((((012-34)*5)-6)+789)
674	((((0*1234)+5)+678)-9)
675	(((0123+456)+7)+89)
676	((((01+23)-4)+567)+89)
677	((((0123+4)+567)-8)-9)
678	((((0-12)+34)+567)+89)
679	(((0*1234)+56)+(7*89))
680	(((012+(3*4))+567)+89)
681	((012*((34-56)+78))+9)
682	((((0*1234)-5)+678)+9)
683	((((01*23)+4)+567)+89)
684	(((01234-567)+8)+9)
685	((((012-34)*5)+6)+789)
686	(((0123-4)-56)+(7*89))
687	(((0*12345)+678)+9)
688	((0123-(4*56))+789)
689	((((01-2)+34)+567)+89)
690	((((0*12)+34)+567)+89)
691	(((((0*1)-23)+45)+678)-9)
692	((((0*1234)+5)+678)+9)
693	((((01+2)+34)+567)+89)
694	(((0123+4)-56)+(7*89))
695	((((0123+4)+567)-8)+9)
696	((((012*3)+4)+567)+89)
697	((((012+3)*45)-67)+89)
698	((((01-2)-34)-56)+789)
699	((((0*12)-34)-56)+789)
700	(01234-(((5-6)+7)*89))
701	((((01*2)-34)-56)+789)
702	(((0*123456)+78)*9)
703	((((0123-4)+567)+8)+9)
704	(((((0-12)+34)-5)+678)+9)
705	((((0-123)+45)-6)+789)
706	(((((0*1)-23)-4)-56)+789)
707	((((01-23)-4)-56)+789)
708	(((0*12345)+6)+(78*9))
709	(((((0*1)-23)+45)+678)+9)
710	((((01-23)+45)+678)+9)
711	(((012-34)-56)+789)
712	(((01*234)+567)-89)
713	(((01+234)+567)-89)
714	((((0*123)+45)+678)-9)
715	((((01-23)+4)-56)+789)
716	((((01-23)-45)-6)+789)
717	((((0-123)+45)+6)+789)
718	((((0-123)-4)+56)+789)
719	(((((0*12)+34)+56)*7)+89)
720	((((012+34)+5)+678)-9)
721	(((012*(3-4))-56)+789)
722	(((((0-12)-3)+4)-56)+789)
723	((((01*23)+4)*56)-789)
724	((((01*2)*34)+567)+89)
725	(((01+(2*34))+567)+89)
726	((((0-123)+4)+56)+789)
727	((012*((3*45)-67))-89)
728	((((01-23)-45)+6)+789)
729	((((0*123)-4)-56)+789)
730	(((01+234)+567)-(8*9))
731	((012+((34+56)*7))+89)
732	((((0*123)+45)+678)+9)
733	(((0*1234)-56)+789)
734	((01*2)*((345-67)+89))
735	((((012*3)-45)*6)+789)
736	(((012-34)+56)+(78*9))
737	((((0*123)+4)-56)+789)
738	((((0*123)-45)-6)+789)
739	((01234-567)+(8*9))
740	(((012*(3+4))+567)+89)
741	((((012-3)+45)+678)+9)
742	(((((0-12)-34)+5)-6)+789)
743	(((012+34)*(5-6))+789)
744	((((012+3)-4)-56)+789)
745	(((01*2)*(34-56))+789)
746	((((012-3)+4)-56)+789)
747	(((0123-45)+678)-9)
748	((((01*23)*4)+567)+89)
749	(((01+(23*4))+567)+89)
750	((((0*123)-45)+6)+789)
751	((((0123-4)*5)+67)+89)
752	((((01*23)-4)-56)+789)
753	((01234-(56*7))-89)
754	(((01-(23*4))+56)+789)
755	((((0-12)+34)-56)+789)
756	((01234-567)+89)
757	((((01-23)*4)+56)+789)
758	((((01+2)*34)+567)+89)
